순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,NAVER,2.82%,205500,9400,+4.79%,1190111,200500,206500,198200,44.35,3.29
2,바이오니아,2.23%,59600,13600,-18.58%,3753556,74200,77600,58700,127.35,5.5
3,삼성전자,1.92%,65900,800,+1.23%,5386014,66300,66300,65400,8.18,17.07
4,대한제당,1.13%,4065,935,+29.87%,39974139,3435,4065,3405,15.28,4.87
5,에코프로,1.08%,679000,4000,-0.59%,321889,694000,696000,671000,478.84,2.94
6,한일사료,1.04%,6880,1310,+23.52%,27318109,5820,6960,5750,-19.11,-23.08
7,서연이화,0.96%,16440,1590,+10.71%,6643048,19000,19300,16380,7.98,8.03
8,SK이노베이션,0.96%,189900,10900,+6.09%,967496,183600,192300,183200,11.34,8.49
9,에코프로비엠,0.91%,246500,3500,-1.40%,523738,252000,253000,243500,101.32,24.26
10,이화전기,0.82%,903,175,-16.23%,64133462,1089,1110,833,-1.13,-34.57
11,삼화전자,0.81%,11050,2800,-20.22%,7826742,13200,13840,10930,-19.98,-45.31
12,덕양산업,0.80%,8120,1250,+18.20%,12981585,6870,8320,6870,16.74,22.57
13,포스코퓨처엠,0.80%,329000,9500,-2.81%,586526,344500,344500,328000,215.46,4.87
14,삼천리,0.76%,142600,4100,-2.79%,164187,146800,147700,141800,11.74,3.58
15,POSCO홀딩스,0.75%,374500,4500,-1.19%,389401,384000,384000,374000,10.27,6.11
16,카나리아바이오,0.68%,40700,2050,+5.30%,2123892,39300,40850,39100,-5.31,
17,현대로템,0.61%,34750,1200,+3.58%,1312305,34150,34950,34050,19.18,14.06
18,윈텍,0.55%,3840,660,+20.75%,15701786,3250,4130,3240,40.0,8.08
19,한국ANKOR유전,0.54%,804,0,0.00%,40229940,841,848,721,,
20,LG이노텍,0.52%,276500,17000,+6.55%,362995,264000,277000,264000,6.68,25.85
21,지엔원에너지,0.50%,14080,1430,+11.30%,5339876,13000,14490,12990,-135.38,-9.06
22,이아이디,0.48%,2025,80,-3.80%,18280616,2160,2175,1945,-1.96,-47.66
23,퓨런티어,0.46%,28400,3750,+15.21%,2260239,25300,29450,24750,110.94,7.74
24,카카오,0.45%,58000,800,+1.40%,883873,57500,58200,57500,19.1,13.54
25,레이크머티리얼즈,0.43%,16300,930,+6.05%,10816994,16380,17270,16030,39.66,37.46
26,한국항공우주,0.43%,55600,2500,+4.71%,975035,54700,56200,54200,45.76,8.78
27,팜스토리,0.43%,2190,292,+15.38%,19562795,1937,2215,1937,-44.69,-2.63
28,LG전자,0.41%,111400,2200,+2.01%,263050,110000,111400,109700,16.84,6.61
29,두산에너빌리티,0.39%,15910,100,+0.63%,1719700,15980,15980,15830,-12.76,-11.7
30,SK바이오사이언스,0.38%,79700,3400,-4.09%,780395,81000,83300,79100,49.94,
