기준일,확진자수,누적확진자수,사망자수,누적사망자수,누적의심신고검사자수
2020-01-20,1,1,0,0,4
2020-01-21,0,1,0,0,15
2020-01-22,0,1,0,0,21
2020-01-23,0,1,0,0,25
2020-01-24,1,2,0,0,29
2020-01-25,0,2,0,0,47
2020-01-26,1,3,0,0,56
2020-01-27,1,4,0,0,84
2020-01-28,0,4,0,0,137
2020-01-29,0,4,0,0,208
2020-01-30,3,7,0,0,275
2020-01-31,4,11,0,0,335
2020-02-01,1,12,0,0,371
2020-02-02,3,15,0,0,429
2020-02-03,0,15,0,0,490
2020-02-04,1,16,0,0,607
2020-02-05,5,21,0,0,714
2020-02-06,3,24,0,0,885
2020-02-07,0,24,0,0,1130
2020-02-08,0,24,0,0,1701
2020-02-09,3,27,0,0,2340
2020-02-10,1,28,0,0,2776
2020-02-11,0,28,0,0,3629
2020-02-12,0,28,0,0,5074
2020-02-13,0,28,0,0,5797
2020-02-14,0,28,0,0,6854
2020-02-15,0,28,0,0,7519
2020-02-16,2,30,0,0,7919
2020-02-17,0,30,0,0,8171
2020-02-18,2,32,0,0,9265
2020-02-19,34,66,0,0,10411
2020-02-20,16,82,1,1,12161
2020-02-21,74,156,0,1,14816
2020-02-22,190,346,2,3,19621
2020-02-23,210,556,0,3,22633
2020-02-24,207,763,4,7,28615
2020-02-25,130,893,1,8,36716
2020-02-26,253,1146,3,11,46127
2020-02-27,449,1595,1,12,57990
2020-02-28,427,2022,1,13,70940
2020-02-29,909,2931,3,16,85693
2020-03-01,595,3526,1,17,96985
2020-03-02,686,4212,6,23,109591
2020-03-03,600,4812,5,28,125851
2020-03-04,516,5328,4,32,136707
2020-03-05,438,5766,3,35,146541
2020-03-06,518,6284,7,42,164740
2020-03-07,483,6767,2,44,178189
2020-03-08,367,7134,6,50,188518
2020-03-09,248,7382,1,51,196618
2020-03-10,131,7513,3,54,210144
2020-03-11,242,7755,6,60,222395
2020-03-12,114,7869,6,66,234998
2020-03-13,110,7979,1,67,248647
2020-03-14,107,8086,5,72,261335
2020-03-15,76,8162,3,75,268212
2020-03-16,74,8236,0,75,274504
2020-03-17,84,8320,6,81,286716
2020-03-18,93,8413,3,84,295647
2020-03-19,152,8565,7,91,307024
2020-03-20,87,8652,3,94,316664
2020-03-21,147,8799,8,102,327509
2020-03-22,98,8897,2,104,331780
2020-03-23,64,8961,7,111,338036
2020-03-24,76,9037,9,120,348582
2020-03-25,100,9137,6,126,357896
2020-03-26,104,9241,5,131,364942
2020-03-27,91,9332,8,139,376961
2020-03-28,146,9478,5,144,387925
2020-03-29,105,9583,8,152,394141
2020-03-30,78,9661,6,158,398902
2020-03-31,125,9786,4,162,410564
2020-04-01,101,9887,3,165,421547
2020-04-02,89,9976,4,169,431743
2020-04-03,86,10062,5,174,443273
2020-04-04,94,10156,3,177,455032
2020-04-05,81,10237,6,183,461233
2020-04-06,47,10284,3,186,466804
2020-04-07,47,10331,6,192,477304
2020-04-08,53,10384,8,200,486003
2020-04-09,39,10423,4,204,494711
2020-04-10,27,10450,4,208,503051
2020-04-11,30,10480,3,211,510479
2020-04-12,32,10512,3,214,514621
2020-04-13,25,10537,3,217,518743
2020-04-14,27,10564,5,222,527438
2020-04-15,27,10591,3,225,534552
2020-04-16,22,10613,4,229,538775
2020-04-17,22,10635,1,230,546463
2020-04-18,18,10653,2,232,554834
2020-04-19,8,10661,2,234,559109
2020-04-20,13,10674,2,236,563035
2020-04-21,9,10683,1,237,571014
2020-04-22,11,10694,1,238,577959
2020-04-23,8,10702,2,240,583971
2020-04-24,6,10708,0,240,589520
2020-04-25,10,10718,0,240,595161
2020-04-26,10,10728,2,242,598285
2020-04-27,10,10738,1,243,601660
2020-04-28,14,10752,1,244,608514
2020-04-29,9,10761,2,246,614197
2020-04-30,4,10765,1,247,619881
2020-05-01,9,10774,1,248,623069
2020-05-02,6,10780,2,250,627562
2020-05-03,13,10793,0,250,630973
2020-05-04,8,10801,2,252,633921
2020-05-05,3,10804,2,254,640237
2020-05-06,2,10806,1,255,643095
2020-05-07,4,10810,1,256,649388
2020-05-08,12,10822,0,256,654863
2020-05-09,18,10840,0,256,660030
2020-05-10,34,10874,0,256,663886
2020-05-11,35,10909,0,256,668492
2020-05-12,27,10936,2,258,680890
2020-05-13,26,10962,1,259,695920
2020-05-15,56,11018,1,260,726747
2020-05-16,19,11037,2,262,740645
2020-05-17,13,11050,0,262,747653
2020-05-18,15,11065,1,263,753211
2020-05-19,13,11078,0,263,765574
2020-05-20,32,11110,0,263,776433
2020-05-21,12,11122,1,264,788684
2020-05-22,20,11142,0,264,802418
2020-05-23,23,11165,2,266,814420
2020-05-24,25,11190,0,266,820289
2020-05-25,16,11206,1,267,826437
2020-05-26,19,11225,2,269,839475
2020-05-27,40,11265,0,269,852876
2020-05-28,79,11344,0,269,868666
2020-05-29,58,11402,0,269,885120
2020-05-30,39,11441,0,269,902901
2020-05-31,27,11468,1,270,910822
2020-06-01,35,11503,1,271,921391
2020-06-02,38,11541,1,272,939851
2020-06-03,49,11590,1,273,956852
2020-06-04,39,11629,0,273,973858
2020-06-05,39,11668,0,273,990960
2020-06-06,51,11719,0,273,1005305
2020-06-07,57,11776,0,273,1012769
2020-06-08,37,11813,0,273,1018214
2020-06-09,38,11851,1,274,1035997
2020-06-10,50,11901,2,276,1051972
2020-06-11,45,11946,0,276,1066888
2020-06-12,56,12002,1,277,1081486
2020-06-13,48,12050,0,277,1094704
2020-06-14,34,12084,0,277,1100327
2020-06-15,37,12121,0,277,1105719
2020-06-16,34,12155,1,278,1119767
2020-06-17,43,12198,1,279,1132823
2020-06-18,59,12257,1,280,1145712
2020-06-19,49,12306,0,280,1158063
